Confirmation1,Confirmation2,Confirmation3,Confirmation4,Usefulness1,Usefulness2,Usefulness3,Usefulness4,Usefulness5,Satisfaction1,Satisfaction2,Satisfaction3,Satisfaction4,ContIntention1,ContIntention2,ContIntention3,ContIntention4,Extraversion1,Extraversion2,Extraversion3,Extraversion4,Extraversion5,Extraversion6,Extraversion7,Agreeablness1,Agreeablness2,Agreeablness3,Agreeablness4,Agreeablness5,Agreeablness6,Agreeablness7,Agreeablness8,Conscientiousness1,Conscientiousness2,Conscientiousness3,Conscientiousness4,Conscientiousness5,Conscientiousness6,Conscientiousness7,Conscientiousness8,Neuroticism1,Neuroticism2,Neuroticism3,Neuroticism4,Neuroticism5,Neuroticism6,Neuroticism7,Neuroticism8,Openness1,Openness2,Openness3,Openness4,Openness5,Openness6,Openness7,Openness8
3,3,4,4,2,2,3,4,4,3,3,4,3,4,4,3,3,2,2,3,2,3,3,3,2,4,5,5,5,5,4,5,3,4,2,3,3,4,4,4,2,5,5,3,4,3,5,5,3,3,3,4,3,3,3,4
4,3,4,4,2,4,2,4,4,4,4,5,4,4,3,2,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,5,2,4,3,5,4,4,4,4,4,2,2,2,2,2,4,4,4,4,3,2,4,4,4,3
4,5,5,5,3,3,5,5,5,5,5,5,5,4,4,4,5,5,2,2,2,5,1,3,3,4,3,3,4,3,2,3,3,2,4,4,4,5,3,3,1,5,5,4,5,5,5,5,5,5,5,4,2,5,4,2
4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,2,2,4,2,2,1,2,4,5,4,3,4,3,3,5,2,5,2,2,1,4,2,4,4,5,3,5,3,1,5,5,4,3,3,3,2,5,4,4
5,5,5,5,3,3,4,2,5,5,5,5,5,5,4,5,5,4,4,3,3,3,4,5,3,4,4,4,5,3,5,5,4,4,3,4,4,4,3,5,4,2,3,2,3,3,2,3,5,5,5,4,2,1,5,5
4,3,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,3,2,2,2,3,2,2,4,4,4,4,4,3,4,5,3,4,3,3,3,2,2,4,3,2,3,4,4,4,4,4,2,3,3,4,3,4,3,3
4,4,4,5,5,5,5,5,5,5,5,5,4,5,3,3,5,3,4,5,3,5,4,2,5,5,5,5,5,4,5,5,4,3,4,4,4,5,2,4,2,1,1,4,3,2,2,2,4,5,5,4,4,5,5,3
4,3,4,4,3,3,4,3,5,4,4,4,3,4,3,3,3,3,3,2,2,1,3,3,4,4,4,4,4,3,4,5,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,2,4,3,3,3,2,3,4,3
4,4,4,4,5,5,4,4,5,4,4,5,4,5,5,5,5,4,4,5,5,4,5,3,5,5,5,5,5,4,5,5,4,4,4,5,4,4,5,5,5,5,4,4,5,2,3,3,4,4,4,3,3,4,4,3
4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,3,4,3,4,3,3,4,2,4,2,3,3,4,4,4,3,5,4,5,4,4,3,3,5,5,4,4,2,2,2,2,4,3,3,4,4,5,3,4,4,4
4,2,3,2,4,4,4,5,4,3,3,4,3,3,3,3,4,5,4,3,3,4,3,3,3,3,4,3,3,3,4,5,4,4,4,4,4,3,4,5,3,4,3,3,4,2,4,2,2,4,4,4,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,4,5,5,5,3,5,5,1,5,5,5,4,4,4,2,5,5,4,5,1,1,1,1,1,1,4,4,4,4,4,5,5,5
4,2,2,4,4,4,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,4,3,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4,4,5,4,4,3,4,5,5,4,5,5,5,5,4,5,4,4,3,2,2,2,1,2,4,5,4,4,5,4,4,5,4,5,3,4,2,4,2,4,4,3,2,3,2,2,1,1,4,4,4,5,3,4,4,4
4,4,4,4,4,2,2,4,5,4,4,4,4,4,4,4,4,2,3,2,2,4,2,3,3,4,4,3,4,4,4,4,4,4,2,4,2,4,2,4,3,3,4,4,4,4,4,4,3,2,4,4,2,3,3,4
4,4,4,3,3,3,4,5,5,4,4,4,4,4,3,3,4,4,4,3,2,2,1,1,4,5,5,4,5,5,4,5,4,5,3,5,3,4,4,5,4,3,3,2,3,3,5,4,3,5,4,4,3,4,4,3
4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,2,2,4,2,2,4,2,5,1,1,2,1,3,3,3,3,3,3,2,2,2,2,2,4,3,3
4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,4,2,4,5,4,4,5,5,5,5,3,5,3,5,4,3,5,5,3,4,5,5,5,4,5,5,3,5,5,5,4,4,4,3
5,4,5,3,3,3,3,4,5,5,4,5,4,5,4,5,5,3,3,4,2,4,2,1,4,4,3,4,4,4,5,5,3,4,4,4,4,4,4,5,4,4,2,2,2,2,2,2,4,3,4,4,2,4,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,4,5,4,4,4,3,3,5,5,4,5,5,5,3,4,4,4
4,4,5,4,3,1,1,5,5,5,5,5,5,5,5,4,5,4,3,3,3,2,1,3,5,5,5,5,5,5,5,5,3,3,4,5,3,3,5,5,3,1,5,5,5,5,5,5,2,3,3,2,2,5,3,5
5,5,5,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,2,5,3,3,3,3,3,4,3,3,2,2,2,2,3,3,4,4,4,4,3,4,4,3
4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,3,3,3,3,2,3,4,5,4,4,4,4,1,5,4,3,4,5,4,4,4,2,3,3,4,3,3,3,3,2,4,4,4,4,3,4,3,3
3,3,4,4,4,4,3,2,2,4,2,4,2,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,5,4,2,3,2,3,3,2,2,4,4,4,3,3,2,2,2,2,4,4,4,2,4,4,4
5,4,4,4,3,3,3,2,5,4,4,5,4,5,4,3,4,5,4,4,3,3,3,4,4,4,3,4,4,3,4,5,4,3,3,4,3,4,4,4,3,4,3,3,3,2,1,1,3,2,4,4,3,3,3,3
4,4,4,4,2,2,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,3,4,2,5,5,5,4,4,4,5,5,3,3,4,4,4,4,4,5,3,5,2,3,3,1,2,2,4,3,3,4,2,2,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,3,2,4,4,4,3,4,4,4,5,3,4,5,5,5,3,5,5,3,2,3,3,3,3,4,4,3,3,3,4,4,4,4,2
4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,4,3,3,4,4,3,2,3,4,3,3,4,4,4,4,4,4,4,4,4,3
5,5,5,5,4,2,3,4,5,5,5,5,5,5,5,4,5,4,3,4,1,4,5,4,4,4,4,4,4,3,4,5,5,5,3,3,2,4,2,4,5,5,3,2,3,1,3,3,4,5,5,5,3,5,5,5
4,3,4,3,3,3,3,3,4,4,4,5,5,4,4,3,4,4,4,5,4,3,5,3,4,4,4,4,4,5,5,5,3,5,3,5,2,5,4,5,3,4,2,4,4,2,2,3,4,4,4,4,5,5,4,3
5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,3,3,3,3,2,2,3,5,5,4,4,4,5,5,5,3,3,4,4,3,4,4,5,4,4,4,4,3,1,3,2,4,4,4,5,3,3,4,4
4,4,4,5,3,3,4,3,5,5,4,4,3,5,5,3,5,3,4,4,3,4,5,4,4,4,3,4,3,3,4,5,3,5,3,4,3,4,2,4,3,2,4,3,2,2,4,3,4,4,3,4,4,4,3,4
5,4,4,5,3,3,3,5,5,5,4,4,4,4,3,3,4,3,3,3,3,3,2,2,4,5,5,4,4,3,5,5,4,5,5,5,5,4,5,5,4,3,3,3,3,2,3,3,3,5,5,5,3,5,5,3
4,5,4,4,3,3,4,4,5,4,5,5,4,5,5,4,4,3,4,3,2,3,3,4,4,4,4,3,4,4,2,4,3,4,3,4,4,3,3,4,3,4,3,4,3,2,4,3,4,4,4,3,3,4,4,3
4,4,4,4,3,3,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,3,5,4,4,5,5,4,4,2,3,2,2,2,2,2,2,3,4,5,4,3,4,4,5
3,3,5,5,2,2,4,4,5,4,4,4,3,5,5,4,4,2,2,4,2,2,3,4,4,4,4,4,4,3,4,5,4,5,4,5,5,5,4,4,2,2,5,5,5,5,4,4,4,3,4,4,2,4,4,3
4,2,4,1,2,1,2,2,1,4,4,3,3,1,1,1,1,4,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,4,2,2,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3
2,2,2,2,2,3,3,3,3,3,3,3,3,5,3,3,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,1,1,1,1,5,5,5,5,3,3,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,3,5,5,5,3,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5
4,3,4,3,3,3,4,4,4,4,3,4,3,3,2,2,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,4,4,4,3,4,4,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,4,4,3,4,4,3,4,5,4,2,3,2,2,2,1,1,4,3,4,4,3,3,3,5
5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,4,5,2,1,2,2,3,2,2,3,5,5,4,4,4,4,5,3,4,3,3,3,3,2,4,3,2,1,4,4,3,3,4,4,5,5,3,3,4,5,5
5,4,5,5,1,2,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,3,5,4,3,5,4,5,5,3,3,3,1,1,1,1,5,3,3,4,4,4,4,3,3,3,4,4,4,1,4,4,3
5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,3,4,4,4,4,2,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,3,4,2,5,3,2,4,5,4,4,4,4,5,4,5,4,3,4,5,3
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
4,4,4,4,4,3,3,3,4,2,2,2,2,4,4,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,3,3,1,3,3,3,3,2,2,3,4,3,3,3,3,4,4,4,4,3,4,4,3
4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,2,2,5,4,4,4,4,4,2,2,5,5,5,5,5,5,1,1,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,3,2,2,2,5,5,5,5,5,5,5,1
5,5,5,4,3,3,3,3,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,4,2,3,3,3,4,5,5,5,5,5,5,4,5,5,3,3,1,2,1,1,1,1,3,3,4,5,2,3,4,3
5,5,5,4,4,5,4,5,5,4,4,4,4,4,4,4,5,5,4,5,5,4,3,3,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,3,3,4,3,3,2,2,4,4,5,4,3,5,5,2
4,3,3,2,3,4,3,4,4,4,3,4,3,4,4,3,3,2,3,4,3,4,3,4,4,4,3,4,4,3,3,4,2,2,3,4,2,4,4,4,3,4,4,4,4,2,3,2,3,4,3,3,3,4,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,3,5,3,3,4,4,4,4,4,5,5,3,5,3,5,5,5,5,5,5,3,3,3,3,3,2,1,5,4,4,5,5,5,5,3
1,4,4,3,5,5,5,5,5,3,2,4,4,2,4,4,3,4,5,5,5,3,5,1,5,5,5,5,5,5,5,5,2,1,4,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,5,3,1,5,3,4
4,4,4,4,2,2,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,2,2,4,4,4,2,3,3,4,2,2,2,2,2,2,3,4,3,4,4,4,3,3
4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,3,4,3,3,3,2,3,1,3,4,5,4,4,4,4,4,5,2,4,3,4,2,3,3,5,3,4,3,3,2,2,1,1,4,3,4,4,3,4,4,3
4,4,4,4,3,3,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,5,5,4,5,5,5,5,5,3,5,3,4,4,4,3,4,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4
5,5,5,4,4,4,3,4,5,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5,4,4,3,3,3,4,5,5,3,4,3,4,3,3,4,4,3,4,3,3,3,1,1,2,3,4,3,3,3,3,3,5
4,3,4,5,4,2,3,4,4,4,4,4,5,4,4,4,4,3,3,3,4,4,3,3,5,5,4,4,4,4,5,5,3,4,3,2,3,2,2,4,4,4,4,4,4,2,3,2,3,5,5,4,4,3,4,2
4,4,5,3,4,4,4,5,5,4,4,5,5,4,3,4,5,4,5,5,5,4,1,4,5,5,4,3,4,4,5,5,4,5,3,4,2,3,4,5,4,2,4,4,2,3,4,4,4,4,4,4,3,5,4,3
4,4,4,4,2,2,4,5,5,5,4,5,3,5,5,3,3,4,4,4,2,4,2,3,5,5,4,4,5,4,5,5,4,5,3,5,4,3,4,5,5,2,3,3,2,2,3,2,4,4,4,4,3,5,3,4
4,4,4,2,3,2,4,4,4,4,2,4,2,4,4,3,4,3,4,4,2,5,1,2,3,5,5,4,5,5,4,5,4,5,5,5,3,4,4,5,4,5,5,5,5,2,5,4,4,2,4,4,2,5,5,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,4,4,2,2,4,4,4,4,3,4,4,3,3,3,3,3,3,2,3,3,2,5,5,3,5,5,5,3,5,4,5,3,4,4,3
4,4,5,5,2,4,4,4,5,5,4,5,5,5,5,3,4,5,5,5,4,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,2,4,4,3,3,2,3,3,2,3,5,5,5,4,1,2,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
4,4,4,5,4,3,4,4,4,3,4,5,5,5,5,3,4,4,4,3,2,3,5,5,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,2
3,4,4,3,2,2,3,4,5,4,3,4,2,5,5,4,5,4,2,2,3,5,2,4,1,4,2,4,3,3,1,5,3,5,2,2,2,2,3,3,2,1,5,5,5,1,5,5,5,5,5,4,5,5,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,3,3,3,3,1,1,5,5,5,5,5,5,5,5,2,4,4,4,4,3,4,4,2,4,4,4,2,2,2,2,4,5,5,5,5,5,5,2
5,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,2,3,4,4,3,4,4,3,4,5,3,4,4,5,4,3,4,5,3,3,3,3,2,2,1,1,4,3,4,4,3,4,4,3
5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,4,3,5,5,5,5,4,4,5,3
5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,3,3,5,3,3,2,1,5,5,5,4,5,5,3,5,4,5,5,5,5,5,1,5,4,2,3,3,1,4,4,4,4,5,5,5,5,5,5,2
3,3,4,2,2,2,3,3,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,3,3,4,3,5,5,4,4,3,3,4,4,5,5,4,3,4,3,4,3,5,5,4,4,4,4,1,4,4,4
5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,4,4,4,5,5,5,5,4,4,3,3,4,5,2,2,3,4,3,2,3,3,5,5,5,5,2,5,5,5
5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,4,5,5,5,5,5,1,1,4,4,4,1,3,3,3,4,3,2,2,4,3,2,2,2,2,4,4,3,2,3,4,4
5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,3,5,3,3,3,3,3,2,4,3,5,5,4,5,5,4,5,3,5,3,3,4,3,3,4,4,3,4,4,3,3,3,3,3,4,4,3,3,4,3,4
5,5,5,4,4,4,5,5,5,5,4,5,4,5,5,3,5,3,3,2,1,1,1,1,4,5,4,4,4,5,5,5,3,5,3,4,4,3,4,4,3,1,4,5,3,4,4,4,4,4,4,4,3,5,4,3
4,5,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,5,3,3,4,5,4,4,5,5,4,5,4,4,4,5,4,4,4,5,4,3,4,4,2,2,2,2,4,5,5,4,3,3,5,5
3,4,4,5,4,3,5,5,4,4,4,5,4,5,5,2,3,4,3,1,2,5,2,1,2,4,4,3,5,5,1,5,3,4,5,5,2,4,4,4,2,2,3,4,5,4,5,5,3,3,5,4,2,3,4,3
2,2,2,2,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,4,3,3,4,5,3,4,2,3,2,2,2,3,3,3,4,5,4,3,3,3,4,4,3,2,3,3,3,4
4,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,4,4,3,3,4,4,3,3,4,5,4,5,5,5,5,5,3,5,3,4,3,4,3,5,2,2,4,3,3,3,3,2,4,5,4,4,2,4,2,3
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,2,4,4,4,4,5,5,4,4,3,3,3,4,3,3,3,4,3,1,5,5,5,5,5,5,3,5,5,5,4,5,5,3
4,4,4,4,4,5,4,5,5,4,5,4,5,4,2,5,4,5,5,4,3,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,2,5,5,5,5,1,1,5,1,2,4,5,5,4,5,2,4,5,5
4,5,4,3,3,4,4,5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,2,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,3,3,2,2,3,4,4,3,5,5,3,5,5,4
4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,3,4,3,4,3,3,4,3,2,4,5,5,4,4,3,2,5,4,4,3,4,3,4,4,4,4,2,1,4,4,4,5,5,4,4,4,4,3,5,4,4
5,4,4,4,5,4,3,4,5,4,5,4,4,3,3,2,3,4,4,5,5,4,3,3,5,4,1,4,4,4,4,5,4,5,5,4,5,5,2,4,3,3,2,4,2,2,1,1,4,4,5,5,3,3,5,4
4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,5,5,2,2,2,4,2,4,4,4,4,4,4,4,2,4,4,4,3,2,2,3,2,2,3,2,4,4,4,4,4,4,4,5,5,3,3,5,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,3,5,1,1,5,1,5,5,5,4,4,5,5,5,5,5,5,5,5,1
5,4,4,5,5,2,4,5,5,4,4,4,4,5,5,4,5,3,3,3,3,4,3,5,3,5,4,5,5,4,5,5,3,5,3,3,2,4,2,4,4,3,2,3,2,2,4,4,3,4,4,4,2,5,5,3
4,4,4,4,2,2,4,3,5,4,4,4,3,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,4,4,1,2,1,4,5,5,5,4,5,5,4
4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,4
2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,2,4,2,4,2,4,2,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,2,2,1,1,1,1,4,4,5,4,2,4,4,4
4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,1,1,1,1,3,2,4,5,5,5,1,4,5,5
3,4,3,2,3,4,4,3,4,4,5,5,4,4,3,2,5,4,4,3,2,2,4,3,4,4,2,2,4,4,3,5,1,5,1,5,1,1,2,4,3,1,5,5,5,5,5,5,3,5,3,3,1,5,5,4
5,4,4,3,2,2,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,3,4,3,4,5,4,4,4,5,4,5,4,4,3,3,2,3,2,2,4,4,3,4,4,2,4,4,4,5,4,4,3,4,4,2
5,5,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,1,1,5,5,5,4,4,1,4,4,5,5,5,5,4,4,4,4,5,2,1,3,3,1,4,3,3,3,3,1,1,1,3,1,1,5
3,3,4,5,4,3,4,5,5,4,4,4,3,4,4,3,4,3,4,3,3,3,1,1,5,5,4,5,5,5,3,5,3,5,4,5,3,5,5,5,3,3,2,4,2,1,3,3,3,5,5,3,3,5,5,3
4,4,4,3,2,1,1,2,3,3,3,4,3,4,3,2,3,3,2,3,3,2,2,3,3,3,4,4,3,4,4,4,3,4,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,2,3,3,2,3,3,3
4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,2,2,2,2,4,2,3,2,4,4,4,4,4,3,5,3,4,3,4,3,3,4,5,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3
3,3,4,3,2,2,4,3,4,4,3,5,3,3,3,2,3,3,1,1,1,1,1,3,2,4,4,3,3,3,4,5,3,2,3,4,1,3,3,4,2,2,5,5,5,5,5,5,3,5,4,2,2,5,5,3
4,4,4,4,3,3,4,3,5,4,4,5,4,4,4,4,4,3,4,4,3,4,2,3,2,3,3,3,3,4,2,5,4,2,4,4,4,4,4,5,3,4,3,3,2,2,3,2,3,4,4,4,3,3,4,3
5,4,4,4,4,5,5,4,5,3,3,3,3,3,3,3,4,4,4,5,2,4,1,2,4,5,5,4,4,4,4,5,2,2,2,4,3,4,2,2,4,1,4,3,3,1,5,5,2,1,4,4,2,3,2,3
4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,2,4,3,2,2,2,4,2,4,1,3,4,4,4,3,2,4,3,4,3,2,4,3,3,4,2,3,3,3,3,3,2,2,3,4,4,4,3,3,4,4
4,4,4,3,2,3,3,4,5,4,4,5,4,5,5,4,3,3,3,3,2,3,2,3,4,5,3,5,4,3,4,5,2,4,2,3,3,2,4,4,3,2,3,3,2,4,2,2,5,5,4,3,3,5,4,4
4,4,2,4,4,4,4,5,4,2,5,4,4,5,4,4,5,5,5,4,4,4,5,5,4,4,3,4,4,5,5,5,4,5,3,3,3,3,4,4,4,4,3,2,3,2,2,1,5,5,4,5,3,4,5,5
4,4,4,4,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,3,3,2,3,1,3,3,4,3,5,4,4,4,4,4,4,3,4,4,2,2,2,2,2,2,2,4,3,3,4,3,4,4,4
3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3,4,3,3,4,3,4,5,5,5,4,5,5,5,4,3,2,5,4,3,3,3,3,3,3,3,3,4,4,4,3,3,4,5
4,5,5,5,3,3,4,4,5,4,5,5,5,5,5,3,3,1,1,1,1,1,1,2,2,3,3,2,3,3,3,5,3,2,2,2,1,4,1,1,5,4,3,3,3,2,3,3,5,5,5,5,2,4,5,5
